Idle1,588,0,587,707
Idle2,2940,0,587,707
Idle3,0,708,587,707
Idle4,588,708,587,707
Idle5,1176,0,587,707
Idle6,1176,708,587,707
Idle7,0,1416,587,707
Idle8,588,1416,587,707
Idle9,1176,1416,587,707
Idle10,1764,0,587,707
Jump1,1764,708,587,707
Jump2,1764,1416,587,707
Jump4,0,2124,587,707
Jump5,588,2124,587,707
Jump3,1176,2124,587,707
Jump6,1764,2124,587,707
Jump7,2352,0,587,707
Jump8,2352,708,587,707
Run1,2352,1416,587,707
Jump9,2352,2124,587,707
Jump10,0,0,587,707
Run2,2940,708,587,707
Run3,2940,1416,587,707
Run4,2940,2124,587,707
Run5,0,2832,587,707
Run6,588,2832,587,707
Run7,1176,2832,587,707
Walk1,1764,2832,587,707
Run8,2352,2832,587,707
Walk2,2940,2832,587,707
Run9,3528,0,587,707
Walk3,3528,708,587,707
Run10,3528,1416,587,707
Walk4,3528,2124,587,707
Walk5,3528,2832,587,707
Walk6,0,3540,587,707
Walk7,588,3540,587,707
Walk8,1176,3540,587,707
Walk10,1764,3540,587,707
Walk9,2352,3540,587,707
